id;host_is_superhost;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable
17741453;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;2;1;1;1;57;32;1125;6;0;0;4.33;3.67;3.83;4.5;4.67;4.83;3.67;0
18029085;0;1;Sant Antoni;Entire rental unit;Entire home/apt;5;2;4;4;75;32;1125;1;0;0;5;5;3;5;5;5;5;0
18030645;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;1;3;127;6.7;1125;136;34;1;4.76;4.84;4.73;4.9;4.8;4.96;4.43;1
18033581;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;1;1;59;3.1;66.8;98;16;2;4.47;4.66;4.71;4.72;4.66;4.9;4.38;1
18043684;0;1;la Dreta de l'Eixample;Entire serviced apartment;Entire home/apt;6;2;2;3;174;1;365;132;40;1;4.61;4.55;4.51;4.89;4.8;4.92;4.37;1
18046053;0;1;Sant Antoni;Entire rental unit;Entire home/apt;5;2;4;4;75;32;1125;1;0;0;5;4;5;5;5;5;5;0
17753817;1;1;el Guinardó;Entire loft;Entire home/apt;3;1;2;2;106;3.2;1125;206;47;2;4.95;4.93;4.98;4.97;4.97;4.76;4.83;0
17762151;0;1;la Nova Esquerra de l'Eixample;Private room in rental unit;Private room;2;1;1;1;200;3;15;4;0;0;4.75;4.5;4.5;5;4.5;4.5;4.5;0
18049325;0;1;la Dreta de l'Eixample;Entire serviced apartment;Entire home/apt;6;2;2;3;156;1;365;115;34;2;4.6;4.62;4.43;4.85;4.83;4.93;4.43;1
18053584;0;1;el Poblenou;Entire rental unit;Entire home/apt;6;1;2;2;102;2;500;94;16;1;4.32;4.29;4.37;4.71;4.7;4.65;4.09;1
18068224;0;0;Sants - Badal;Entire rental unit;Entire home/apt;6;1;3;4;83;2.9;1125;26;0;0;4.35;4.54;4.54;4.46;4.19;4.15;4.19;0
18103650;1;1;el Fort Pienc;Private room in rental unit;Private room;2;1.5;1;1;100;1;33;129;15;1;4.88;4.83;4.84;4.95;4.91;4.91;4.71;0
18108783;1;1;la Vila de Gràcia;Private room in rental unit;Private room;1;1;1;1;29;31.7;96;45;6;1;4.98;4.93;5;4.96;5;4.98;4.87;0
18121859;0;1;el Fort Pienc;Private room in condo;Private room;1;2.5;1;1;22;35;190;13;2;0;4.85;4.69;4.85;4.92;5;5;4.77;0
18124601;1;1;la Vila de Gràcia;Private room in condo;Private room;1;1.5;1;1;37;30;90;23;5;0;4.87;5;4.96;4.87;4.96;4.87;4.78;0
18132625;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;3;1;2;3;49;32;330;12;0;0;4.42;4.42;4.42;4.67;4.92;4.83;4.33;0
18280255;1;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;4;1;2;3;210;5;1125;128;8;0;4.62;4.69;4.84;4.89;4.83;4.82;4.54;0
18283499;0;1;el Camp de l'Arpa del Clot;Private room in rental unit;Private room;2;1;1;1;52;31;1125;135;5;1;4.7;4.86;4.91;4.83;4.8;4.85;4.67;0
18298011;0;1;Sarrià;Private room in guesthouse;Private room;2;1;1;2;41;31;1125;105;3;0;4.81;4.89;4.87;4.94;4.93;4.57;4.71;0
18322249;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;2.5;3;6;149;4.7;1125;221;45;2;4.86;4.84;4.88;4.89;4.98;4.83;4.71;0
18338221;0;1;la Font de la Guatlla;Entire rental unit;Entire home/apt;6;2;3;6;122;4.7;1125;163;35;1;4.71;4.79;4.72;4.78;4.9;4.81;4.6;0
18338508;0;1;el Fort Pienc;Private room in rental unit;Private room;1;2;1;1;25;35;190;16;8;1;4.88;4.88;4.56;5;4.88;4.88;4.69;0
18418085;0;1;Sant Antoni;Entire rental unit;Entire home/apt;5;1;2;2;170;3;1125;147;20;0;4.31;4.3;4.68;4.48;4.3;4.8;4.3;1
18146433;0;1;la Vila de Gràcia;Entire loft;Entire home/apt;4;1;1;3;98;6.9;1125;215;36;1;4.66;4.7;4.62;4.76;4.57;4.88;4.57;0
18148057;0;1;Sant Gervasi - Galvany;Entire rental unit;Entire home/apt;4;1;2;2;161;30;330;3;0;0;5;5;5;4.33;4.67;5;5;1
18153634;0;1;el Besòs i el Maresme;Private room in rental unit;Private room;2;1;1;2;186;32;365;7;0;0;4;3.57;4.43;4.43;4;3.57;4;1
18154978;0;1;el Poblenou;Entire rental unit;Entire home/apt;4;1;2;2;100;32;1125;16;2;0;4.75;4.5;4.38;4.81;4.88;4.94;4.44;0
18167818;0;1;Sant Gervasi - Galvany;Entire rental unit;Entire home/apt;4;2;2;2;138;30;329;2;0;0;5;5;5;5;5;5;4;1
18185332;0;1;la Vila Olímpica del Poblenou;Entire rental unit;Entire home/apt;7;2;4;5;58;32;1125;23;3;0;4.48;4.52;4.17;4.35;4.48;4.61;4.43;0
18418904;1;1;la Sagrada Família;Entire rental unit;Entire home/apt;6;1;2;4;162;3.4;1125;193;27;1;4.61;4.64;4.72;4.76;4.79;4.8;4.54;1
18420426;0;0;el Fort Pienc;Entire rental unit;Entire home/apt;6;2;3;6;234;3;36.5;126;21;2;4.21;4.31;4.36;4.2;4.48;4.7;4.13;0
18424324;0;0;el Fort Pienc;Entire rental unit;Entire home/apt;6;2;3;6;221;2.8;180;87;8;0;4.3;4.43;4.6;4.41;4.69;4.85;4.41;0
